#{"t_start": 1754409246.5325806, "env_id": "CarRacing-v3"}
r,l,t
-79.166667,1000,3642.672648
-55.05618,1000,3654.526169
-80.645161,1000,3666.529102
-80.327869,1000,3679.111473
-79.452055,1000,3691.445394
-80.392157,1000,3703.613631
-70.260223,1000,3716.398988
-80.952381,1000,3729.515838
-83.606557,1000,3741.633482
-76.027397,1000,3754.066498
-78.947368,1000,3766.686686
-79.452055,1000,3779.255611
-81.060606,1000,3791.47816
-82.195846,1000,3803.566336
-78.947368,1000,3815.338144
-82.876712,1000,3827.010015
-49.367089,1000,3838.472101
-75.177305,1000,3850.297123
-76.047904,1000,3862.428353
-81.060606,1000,3874.008493
